Date,Region,Season,Weather_Condition,Area,Area size (km^2),Transect,Personel/Observers,Recorder,Start time,GPS Start E,GPS Start N,GPS End E,GPS End N,End time,Time Frame,Transect length,Time,ALT,GPSE,GPSN,Species,sighting distance,Sighting angle,Transect bearing,Adjusted angles,Perpendicular distance,AbsoluteDistance,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Habitat type
8/7/2014,MEIBEI,July-Dry,Dry,NK,,NK/017b,PETER,SIMON,8:55AM,102799,3713561,100964,3714696,9:50AM,,4,9:50AM,1306,102799,3713561,OST,120,187,138,49,-114.45,114.45,3,,3,,,3,,Partially protected
8/7/2014,MEIBEI,July-Dry,Dry,NK,,NK/019,SIMON,PETER,10:36AM,100725,3713172,58919,3714348,11:25AM,,4,,,,,,,,157,157,0,0,,,,,,,,Partially protected
7/7/2014,MEIBEI,July-Dry,Dry,NK,,NK/020,SIMON,PETER,12:46PM,58812,3713381,57116,3714717,1:11PM,,4,,,,,,,,141,141,0,0,,,,,,,,Partially protected
7/7/2014,MEIBEI,July-Dry,Dry,NK,,NK/021,SIMON,TEDDY,11:50AM,59898,3713120,59642,3710979,12:36PM,,4,,,,,,,,253,253,0,0,,,,,,,,Partially protected
9/7/2014,MEIBEI,July-Dry,Dry,NK,,NK/022,PETER,SIMON,12:09PM,101881,3713182,101384,3711085,12:51PM,,4,,,,,,,,268,268,0,0,,,,,,,,Partially protected
21/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/023b,PETER,SIMON,11:28AM,54092,3706365,51930,3706429,12:23pm,,4,,,,,,,,,,,,,,,,,,,Partially protected
23/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/024b,PETER,SIMON,9:16AM,53332,3704216,51182,3704082,10:01AM,,4,9:25AM,1245,53314,3704135,,73,140,214,74,-71.92,71.92,1,,1,,,2,,Partially protected
23/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/025b,SIMON,PETER,10:17AM,52269,3704297,52635,3702173,11:11AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
12/1/2015,MEIBEI,July-Dry,Dry,BAR,,BAR/026b,SIMON,PETER,9:33AM,50403,3704908,50449,3707065,10:03AM,,4,1:00PM,1183,50534,3706807,,70,180,111,69,-8.03,8.03,1,,1,,,3,H,Partially protected
21/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/027b,SIMON,PETER,1:44PM,49449,3705973,49473,3708130,2:13PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
22/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/028b,PETER,SIMON,10:21AM,48555,3707683,48993,3709793,10:50AM,,4,10:12:00AM,1165,48805,3708452,,150,132,88,44,2.66,2.66,7,,7,,,3,H,Partially protected
22/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/029b,SIMON,PETER,11:20AM,46936,3708665,47697,3710678,11:55AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
29/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/030b,PETER,SIMON,12:40PM,47533,3708182,47965,3706071,2:03PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
29/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/034b,PETER,SIMON,10:13AM,51767,3704594,51480,3702454,11:20AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
23/7/2014,MEIBEI,July-Dry,Dry,BAR,,BAR/035b,PETER,SIMON,11:20AM,53194,3703570,55238,3702886,11:44AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
2/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/010c,SIMON,TEDDY,9:55AM,57815,3710745,58196,3712865,10:34AM,,4,10:26AM,1220,57202,3711288,Ostr,70,40,98,58,69.5,69.5,3,1,2,,,3,H,Partially protected
1/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/O11c,SIMON,PETER,10:37AM,59232,3709191,59382,3711341,11:07AM,,4,10:43AM,1273,59230,3709191,Ostr,98,140,75,65,81.03,81.03,3,1,2,,,3,H,Partially protected
,MEIBEI,Sept-Dry,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially protected
4/7/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/014c,SIMON,PETER,10:42AM,59941,3708671,59748,3706523,11:20AM,,4,10:55AM,1298,59747,3706523,Ostr,99,320,267,53,39.2,39.2,5,1,4,,,3,H,Partially protected
3/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/015c,PETER,SIMON,11:44AM,58415,3709939,58119,3707805,12:30PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
4/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/016c,PETER,SIMON,9:10AM,56963,3711409,56885,3709254,9:35AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
2/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/017c,PETER,SIMON,9:54AM,102799,3713561,100964,3714696,10:31AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
2/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/019c,SIMON,PETER,8:30AM,100725,3713172,58919,3714348,9:02AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
2/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/020c,SIMON,PETER,11:39AM,58812,3713381,57116,3714717,11:58AM,,4,11:46 PM,1233,58722,3710530,Ostr,88,67,141,74,-86.69,86.69,3,2,1,,,3,,Partially protected
2/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/020c,SIMON,PETER,10:46AM,58812,3713381,57116,3714717,11:18AM,,4,12:55PM,1235,57971,3710671,Ostr,111,80,141,61,-107.24,107.24,7,2,5,,,3,H,Partially protected
1/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/021c,SIMON,TEDDY,12:48PM,59898,3713120,59642,3710979,1:13PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
3/9/2014,MEIBEI,Sept-Dry,Dry,NK,,NK/022c,PETER,SIMON,9:15AM,101881,3713182,101384,3711085,9:57AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
9/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/023c,PETER,SIMON,11:23AM,54092,3706365,51930,3706429,11:40AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
17/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/024c,PETER,SIMON,9:16AM,53332,3704216,51182,3704082,10:01AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
18/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/025c,SIMON,PETER,10:17AM,52269,3704297,52635,3702173,11:11AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
21/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/026c,SIMON,PETER,9:33AM,50403,3704908,50449,3707065,10:03AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
10/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/027c,SIMON,PETER,1:44PM,49449,3705973,49473,3708130,2:13PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
10/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/028c,PETER,SIMON,10:21AM,48555,3707683,48993,3709793,10:50AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
17/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/029c,SIMON,PETER,11:20AM,46936,3708665,47697,3710678,11:55AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
21/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/030c,PETER,SIMON,12:40PM,47533,3708182,47965,3706071,2:03PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
19/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/034c,PETER,SIMON,10:13AM,51767,3704594,51480,3702454,11:20AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
18/9/2014,MEIBEI,Sept-Dry,Dry,BAR,,BAR/035c,PETER,SIMON,11:20AM,53194,3703570,55238,3702886,11:44AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
8/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/010d,SIMON,TEDDY,10:32AM,57815,3710745,58196,3712865,11:15AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
8/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/011d,SIMON,TEDDY,11:29AM,59232,3709191,59382,3711341,11:59AM,,4,11:29AM,1255,59322,3710037,0st,104,0,75,75,-40.33,40.33,1,1,,,,3,H,Partially protected
8/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/011d,SIMON,TEDDY,11:29AM,59232,3709191,59382,3711341,11:59AM,,4,11:38AM,1249,59319,3710407,ost,119,130,75,55,-118.97,118.97,2,1,1,,,3,H,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/012d,PETER,SIMON,1:11PM,100942,3709036,100805,3711189,1:51PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/014d,SIMON,PETER,10:22AM,59941,3708671,59748,3706523,11:21AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/015d,PETER,SIMON,10:11AM,58415,3709939,58119,3707805,11:03AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
9/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/016d,PETER,SIMON,8:56AM,56963,3711409,56885,3709254,9:35AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
12/10/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/017d,PETER,SIMON,8:55AM,102799,3713561,100964,3714696,9:50AM,,4,9:46AM,1264,100144,3707545,Ost,74,208,138,70,57.27,57.27,8,,3,5,,3,H,Partially protected
12/10/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/019d,SIMON,PETER,10:36AM,100725,3713172,58919,3714348,11:25AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
12/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/020d,SIMON,PETER,12:46PM,58812,3713381,57116,3714717,1:11PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
12/12/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/021d,SIMON,TEDDY,11:50AM,59898,3713120,59642,3710979,12:36PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
010/11/2014,MEIBEI,Nov-Wet,Wet,NK,,NK/022d,PETER,SIMON,12:09PM,101881,3713182,101384,3711085,12:51PM,,4,12:46PM,1300,101274,3714587,ost,117,159,268,109,95.56,95.56,2,1,1,,,3,H,Partially protected
24/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/023d,PETER,SIMON,11:28AM,54092,3706365,51930,3706429,12:23pm,,4,,,,,,,,,,,,,,,,,,,Partially protected
8/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/024d,PETER,SIMON,9:16AM,53332,3704216,51182,3704082,10:01AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/025d,SIMON,PETER,10:17AM,52269,3704297,52635,3702173,11:11AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/026d,SIMON,PETER,9:33AM,50403,3704908,50449,3707065,10:03AM,,4,9:55AM,1187,50559,3706008,ost,122,144,111,33,121.99,121.99,7,,,,,4,H,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/027d,SIMON,PETER,1:44PM,49449,3705973,49473,3708130,2:13PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/028d,PETER,SIMON,10:21AM,48555,3707683,48993,3709793,10:50AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
12/11/2014,MEIBEI,Nov-Wet,Wet,BAR,,BAR/029d,SIMON,PETER,11:20AM,46936,3708665,47697,3710678,11:55AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
