DATE,REGION,End time,AREA,OBSEVER,RECORDER,SPECIES,NO.,DISTANCE(M),HABITAT,ADTM,ADTF,JUV,CHICKS,ID OF FOCAL ANIMAL,START TIME,END TIME,GPSE,GPSN,DIST. TO OSTRICH,DIST. TO MANYATTA,PRENSENCE OF PREDATOR,FEEDING ,RESTING,PREENING,INCUBATING,AGRESSION,VIGILANT,MOVING,MOVING OUT OF SIGHT,RUNNING,DISPLAY,TOTAL,DST. TO THE OSDT,DIST. TO TEST PERSON,FID,Season
18/7/2014,MEIBEI,6:30:00,NG,PETER,SIMON,,,,2,1,3,0,0,ADM,11:14AM,11:34AM,58553,3710797,30,45,,0,13,0,2,0,7,0,0,0,0,20,130,109,21,Dry
18/7/2014,MEIBEI,6:30:00,NG,PETER,SIMON,,,,2,1,3,0,0,ADM,11:36AM,12:04PM,58553,3710797,130,30,,0,13,0,0,0,2,0,0,0,0,20,130,109,21,Dry
23/7/2014,MEIBEI,6:30:00,NKA,PETER,SIMON,,,,2,1,1,0,0,ADF,12:35PM,12:50PM,51953,3719294,53,50,,0,11,0,0,2,0,3,2,3,0,20,,,,Dry
27/7/2014,MEIBEI,6:30:00,SNR,PETER,SIMON,EL,9,15,4,3,3,0,0,ADM,12:14PM,12:43PM,51953,3719295,53,50,,0,12,0,0,0,0,5,0,0,0,20,,,,Dry
27/7/2014,MEIBEI,6:30:00,SNR,SIMON,PETER,EL,9,30,4,3,3,0,0,ADF,11:38AM,11:53AM,55938,3715040,90,1000,,0,11,0,2,0,0,1,0,0,0,20,,,,Dry
27/7/2014,MEIBEI,7:06:00,SNR,TEDDY,SIMON,,,,3,1,0,0,0,ADF,11:30AM,11:501M,35548,3734993,20,30,,2,6,2,4,0,2,9,0,0,0,20,>200,58,81,Dry
27/72014,MEIBEI,7:06:00,SNR,SIMON,MUTIGA,EL,9,50,4,3,3,0,0,ADM,11:09AM,11:29AM,35548,3736493,40,35,,0,19,0,7,0,4,8,0,0,0,20,,,,Dry
29/7/2014,MEIBEI,7:06:00,BAR,PETER,BEN,SHOATS,34,30,,1,2,0,0,ADM,10:07AM,10:27AM,34816,3732953,107,100,,0,18,3,1,1,7,3,0,0,0,20,103,6,97,Dry
29/7/2014,MEIBEI,7:06:00,NG,PETER,BEN,SHOATS,34,28,3,2,0,0,0,ADM,11:09AM,11:29AM,35548,3736493,120,200,,7,14,0,1,0,1,6,0,0,0,20,>200,32,45,Dry
29/7/2014,MEIBEI,7:06:00,BAR,PETER,BEN,SHOATS,20,149,3,0,1,0,0,ADF,2:35PM,3:15PM,39263,3777974,88,70,,0,16,1,0,0,1,11,0,0,0,20,,,,Dry
,MEIBEI,7:06:00,,,,CA,1,88,,,,,0,ADF,2:30PM,2:50PM,48688,3707707,88,68,,0,19,2,1,0,0,6,0,0,0,20,,,,Dry
29/7/2014,WESTGATE,7:20:00,NG,BEN,PETER,,,,3,1,0,0,0,ADF,12:07PM,12:27PM,50673,3704889,74,98,,2,14,0,0,0,1,10,0,0,0,20,74,34,40,Dry
30/7/2013,WESTGATE,7:20:00,NG,SIMON,PETER,GG,4,230,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Dry
11/9/2014,WESTGATE,7:20:00,NKA,PETER,SIMON,DO,17,220,3,2,2,0,0,ADM,2:05PM,2:25PM,47533,3708182,96,90,,1,11,1,0,0,2,7,0,0,0,20,96,58,38,Dry
,WESTGATE,7:20:00,,,,SHOATS,120,260,,,,,0,ADM,11:12AM,11:32PM,47263,3720389,93,400,,0,12,0,0,0,2,5,,3,0,20,93,12,81,Dry
11/9/2014,WESTGATE,7:20:00,NKA,SIMON,PETER,CA,1,48,3,1,1,0,0,ADF,2:14PM,15:04PM,58722,3710530,92,254,,3,11,3,0,0,0,6,0,0,0,20,92,59,33,Dry
,WESTGATE,7:20:00,,,,SHOATS,120,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
,WESTGATE,7:48:00,,,,DO,17,220,,,,,0,ADF,2:22PM,2:42PM,58722,3710530,88,250,,8,0,3,0,0,2,6,0,1,0,20,88,42,46,Dry
14/9/2014,WESTGATE,8:13:00,NKA,PETER,SIMON,,,,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Dry
14/10/2014,MEIBEI,8:13:00,NKA,PETER,SIMON,,,,3,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,Dry
14/7/2014,MEIBEI,8:13:00,NKA,PETER,SIMON,,,,3,3,8,0,0,ADM,11:23AM,11:43AM,48039,3709130,79,180,,2,13,1,1,0,2,4,0,0,0,20,79,41,38,Dry
15/7/2014,MEIBEI,8:13:00,NG,PETER,SIMON,,,,1,2,4,0,0,ADF,11:05AM,11:25AM,48039,3709130,76,180,,1,13,1,1,0,1,5,0,0,0,20,76,46,30,Dry
15/7/2014,MEIBEI,8:13:00,NG,SIMON,PETER,DO,4,>200,1,1,1,0,0,ADM,10:43AM,11:03AM,48039,3709130,70,180,,1,11,1,1,0,1,7,0,0,0,20,70,28,42,Dry
15/10/2014,MEIBEI,8:13:00,NG,SIMON,PETER,DO,4,>200,1,1,1,0,0,ADM,5:46PM,6:06PM,50141,3718675,112,0,,0,12,0,0,0,0,0,0,0,0,20,112,87,25,Dry
29/4/2015,MEIBEI,8:15:00,NK,SIMON ,AMOS,NONE,N/A,N/A,3,3,2,0,0,ADM,10:09AM,10:29AM,50483,3718631,137,0,,0,11,0,0,0,0,1,0,0,0,20,,,,Dry
29/4/2016,MEIBEI,8:33:00,NK,SIMON ,AMOS,NONE,N/A,N/A,3,3,2,0,0,ADF,10:32AM,10:43AM,50480,3718631,120,156,,5,6,6,6,0,5,3,0,0,0,20,,,,Dry
29/4/2017,MEIBEI,8:33:00,NK,SIMON ,AMOS,NONE,N/A,N/A,3,3,2,0,0,ADM,9:10,9:30,59210,3709669,120,80,,0,19,0,0,0,0,1,0,0,0,20,120,87,33,Dry
29/4/2018,MEIBEI,8:33:00,NK,SIMON ,AMOS,NONE,N/A,N/A,3,3,2,0,0,ADM,9:31,9:51,59210,3709669,120,80,,0,18,0,0,1,0,1,0,0,0,20,,,,Dry
29/4/2019,MEIBEI,8:33:00,NK,SIMON ,AMOS,NONE,N/A,N/A,3,3,2,0,0,ADM,9:52,10:13,59210,3709669,120,80,,3,14,0,0,0,3,3,0,0,0,20,,,,Dry
30/4/2015,SNR,8:33:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADM,10:14,10:34,59210,3709669,120,80,,0,16,0,0,1,0,3,0,0,0,20,,,,Dry
,SNR,8:40:00,,,,GZ,18,30,,,,,0,ADM,10:35,10:55,59210,3709669,120,80,,1,19,0,0,0,1,0,0,0,0,20,,,,Dry
30/4/2015,SNR,8:41:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,11:24,11:44,59238,3710440,63,0,,0,14,0,0,0,0,6,0,0,0,20,63,44,19,Dry
,SNR,8:45:00,,,,GZ,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
30/4/2015,SNR,8:45:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,11:03,11:23,59238,3710440,63,0,,0,17,0,0,0,1,2,0,0,0,20,,,,Dry
,SNR,8:45:00,,,,GZ,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
30/4/2015,SNR,8:45:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,10:42,11:02,59238,3710440,63,0,,0,13,0,0,1,2,4,0,0,0,20,,,,Dry
,SNR,8:45:00,,,,GZ,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
30/4/2015,SNR,8:45:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,10:21,10:41,59238,3710440,63,0,,0,20,0,0,0,0,0,0,0,0,20,,,,Dry
,SNR,8:59:00,,,,GZ,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
30/4/2015,SNR,9:02:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,10:00,10:20,59238,3710440,63,0,,0,0,20,0,0,0,0,0,0,0,20,,,,Dry
,MEIBEI,9:11:00,,,,GZ,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
30/4/2015,MEIBEI,9:20:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,9:39,9:59,59238,3710440,63,0,,3,0,17,0,0,0,3,0,0,0,20,,,,Dry
,MEIBEI,9:20:00,,,,GZ,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
30/4/2015,MEIBEI,9:20:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,9:18,9:38,59238,3710440,63,0,,2,0,16,0,1,1,2,0,0,0,20,,,,Dry
,MEIBEI,9:20:00,,,,GZ,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
30/4/2015,MEIBEI,9:20:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,8:57,9:17,59238,3710440,63,0,,0,20,0,0,0,0,0,0,0,0,20,,,,Dry
,MEIBEI,9:21:00,,,,GZ,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry
30/4/2015,MEIBEI,9:26:00,NK,SIMON ,AMOS,SHOATS,300,20,3,3,7,0,0,ADF,8:36,8:56,59238,3710440,63,0,,0,20,0,0,0,0,0,0,0,0,20,,,,Dry
