Region,Season,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Weather_Condition
MEIBEI,Nov-Wet,1,1,,,,3,H,Wet
MEIBEI,Nov-Wet,2,1,1,,,3,H,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,8,,3,5,,3,H,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,2,1,1,,,3,H,Wet
WESTGATE,Nov-Wet,,,,,,,,Wet
WESTGATE,Nov-Wet,13,2,6,5,,1,,Wet
WESTGATE,Nov-Wet,,,,,,,,Wet
WESTGATE,Nov-Wet,2,1,1,,,4,H,Wet
WESTGATE,Nov-Wet,1,1,,,,4,H,Wet
WESTGATE,Nov-Wet,,,,,,,,Wet
WESTGATE,Nov-Wet,,,,,,,,Wet
WESTGATE,Nov-Wet,1,1,,,,3,H,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,7,,,,,4,H,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
MEIBEI,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,6,1,1,4,,1,PA,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
SNR,Nov-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,6,2,4,,,3,H,Wet
MEIBEI,Dec-Wet,1,,1,,,3,H,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,6,,,,,3,H,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
WESTGATE,Dec-Wet,,,,,,,,Wet
WESTGATE,Dec-Wet,,,,,,,,Wet
WESTGATE,Dec-Wet,,,,,,,,Wet
WESTGATE,Dec-Wet,11,4,7,,,2,H,Wet
WESTGATE,Dec-Wet,2,2,,,,3,H,Wet
WESTGATE,Dec-Wet,,,,,,,,Wet
WESTGATE,Dec-Wet,,,,,,,,Wet
WESTGATE,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,,,,,,,,Wet
MEIBEI,Dec-Wet,4,,,,,3,H,Wet
SNR,Dec-Wet,,,,,,,,Wet
SNR,Dec-Wet,,,,,,,,Wet
SNR,Dec-Wet,,,,,,,,Wet
SNR,Dec-Wet,,,,,,1,PA,Wet
SNR,Dec-Wet,,,,,,,,Wet
SNR,Dec-Wet,,,,,,,,Wet
SNR,Dec-Wet,,,,,,,,Wet
SNR,Dec-Wet,,,,,,,,Wet
SNR,Dec-Wet,,,,,,,,Wet
SNR,Dec-Wet,1,,1,,,4,PA,Wet
SNR,Dec-Wet,,,,,,3,PA,Wet
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,2,1,1,,,3,H,Dry
MEIBEI,Feb-Dry,1,1,,,,4,H,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,,,,,,,,Dry
MEIBEI,Feb-Dry,4,1,3,,,3,H,Dry
