Date,Region,Season,Weather_Condition,Area,Transect,Personel/Observers,Recorder,Start time,GPS Start E,GPS Start N,GPS End E,GPS End N,End time,Transect length,Time,ALT,GPSE,GPSN,Species,sighting distance,Sighting angle,Transect bearing,Adjusted angles,Perpendicular distance,AbsoluteDistance,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Habitat type
,MEIBEI,Feb-Dry,Dry,BAR,BAR/034f,PETER,SIMON,10:13:00,51767,3704594,51480,3702454,11:20:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/16/2014,MEIBEI,July-Dry,Dry,NK,NK/014b,SIMON,PETER,10:22:00,59941,3708671,59748,3706523,11:21:00,4,10:40:00,1260,100037,3708120,,163,320,267,53,64.54,64.54,2,,2,,,2,H,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,NK,NK/014d,SIMON,PETER,10:22:00,59941,3708671,59748,3706523,11:21:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/6/2015,MEIBEI,Dec-Wet,Wet,NK,NK/014e,SIMON,PETER,10:22:00,59941,3708671,59748,3706523,11:21:00,4,10:59:00,1282,3708634,59928,OS,56,201,167,34,29.63,29.63,1,,1,,,3,H,Partially protected
3/14/2015,MEIBEI,Feb-Dry,Dry,NK,NK/014f,SIMON,PETER,10:22:00,59941,3708671,59748,3706523,11:21:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/2/2014,SNR,Nov-Wet,Wet,SNR,SNR/066d,SIMON,MUTIGA,11:00:00,35486,3735485,37402,3735431,11:24:00,4,,,,,,,,,,,,,,,,,,,protected
6/19/2014,MEIBEI,June- Dry,Dry,NK,NK/019a,SIMON,PETER,10:36:00,100725,3713172,58919,3714348,11:25:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/8/2014,MEIBEI,July-Dry,Dry,NK,NK/019,SIMON,PETER,10:36:00,100725,3713172,58919,3714348,11:25:00,4,,,,,,,,157,157,0,0,,,,,,,,Partially protected
10/12/2014,MEIBEI,Nov-Wet,Wet,NK,NK/019d,SIMON,PETER,10:36:00,100725,3713172,58919,3714348,11:25:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/7/2015,MEIBEI,Dec-Wet,Wet,NK,NK/019e,SIMON,PETER,10:36:00,100725,3713172,58919,3714348,11:25:00,4,,,,,,,,,,,,,,,,,,,Partially protected
3/16/2015,MEIBEI,Feb-Dry,Dry,NK,NK/019f,SIMON,PETER,10:36:00,100725,3713172,58919,3714348,11:25:00,4,,,,,,,,,,,,,,,,,,,Partially protected
4/23/2015,MEIBEI,April-Wet,Wet,BAR,BAR/035g,SIMON,AMOS,11:06:00,53194,3703570,55238,3702887,11:27:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/7/2015,MEIBEI,May-Wet,Wet,BAR,BAR/035h,SIMON,AMOS,11:06:00,53194,3703570,55238,3702887,11:27:00,4,,,,,,,,,,,,,,,,,,,Partially protected
4/29/2015,MEIBEI,April-Wet,Wet,NK,NK/011g,SIMON,AMOS,9:54:00,59230,3709191,59383,3711341,11:29:00,4,10:12:00,1213,59236,3711342,OST,74,177,90,87,-60.81,60.81,9,2,7,,,3,H,Partially protected
9/5/2014,MEIBEI,June- Dry,Dry,BAR,BAR/029a,SIMON,PETER,10:46:00,46936,3708665,47697,3710678,11:30:00,4,10:52:00,1104,47428,3710063,OS,56,320,253,67,-47.91,47.91,1,1,,,,3,H,Partially protected
6/25/2014,MEIBEI,June- Dry,Dry,NK,NK/014a,SIMON,PETER,10:32:00,59941,3708671,59748,3706523,11:31:00,4,13:12:00,1300,59860,3706520,OS,120,260,267,7,78.84,78.84,3,1,2,,,3,H,Partially protected
4/18/2015,SNR,April-Wet,Wet,SNR,SNR/068g,SIMON,MUTIGA,10:56:00,35354,3734798,34540,3734128,11:32:00,4.5,,,,,,,,,,,,,,,,,,,protected
4/19/2015,SNR,April-Wet,Wet,SNR,SNR/092g,SIMON,MUTIGA,10:54:00,37718,3734049,39875,3734061,11:34:00,4,,,,,,,,,,,,,,,,,,,protected
5/4/2015,SNR,May-Wet,Wet,SNR,SNR/104h,SIMON,MUTIGA,11:12:00,34674,3732267,35475,3731683,11:37:00,2,,,,,,,,,,,,,,,,,,,protected
6/29/2014,WESTGATE,June- Dry,Dry,WG,WG/009a,SIMON,PETER,11:03:00,49236,3718986,49775,3717459,11:37:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/7/2014,MEIBEI,July-Dry,Dry,NK,NK/011b,SIMON,TEDDY,11:09:00,59232,3709191,59382,3711341,11:39:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/6/2015,MEIBEI,Dec-Wet,Wet,NK,NK/011e,SIMON,TEDDY,11:09:00,59232,3709191,59382,3711341,11:39:00,4,,,,,,,,,,,,,,,,,,,Partially protected
3/16/2015,MEIBEI,Feb-Dry,Dry,NK,NK/011f,SIMON,TEDDY,11:09:00,59232,3709191,59382,3711341,11:39:00,4,11: 15AM,949,3732880,36762,OST,19,51,75,24,-17.21,17.21,1,1,,,,4,H,Partially protected
9/9/2014,MEIBEI,Sept-Dry,Dry,BAR,BAR/023c,PETER,SIMON,11:23:00,54092,3706365,51930,3706429,11:40:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/12/2014,SNR,July-Dry,Dry,SNR,SNR/104b,SIMON,MUTIGA,11:22:00,34674,3732267,35475,3731683,11:40:00,2,,,,,,,,,,,,,,,,,,,protected
10/11/2014,SNR,Sept-Dry,Dry,SNR,SNR/104c,SIMON,MUTIGA,11:22:00,34674,3732267,35475,3731683,11:40:00,4,,,,,,,,,,,,,,,,,,,protected
12/12/2014,SNR,Dec-Wet,Wet,SNR,SNR/104e,SIMON,MUTIGA,11:22:00,34674,3732267,35475,3731683,11:40:00,2,,,,,,,,,,,,,,,,,3,PA,protected
3/8/2015,SNR,Feb-Dry,Dry,SNR,SNR/104f,SIMON,MUTIGA,11:22:00,34674,3732267,35475,3731683,11:40:00,2,,,,,,,,,,,,,,,,,,,protected
6/29/2014,WESTGATE,June- Dry,Dry,WG,WG/006a,PETER,SIMON,11:14:00,44674,3721235,44386,3723209,11:43:00,4,9:50:00,1057,44652,37227337,OS,173,200,92,108,160.34,160.34,1,1,,,,2,H,Partially protected
7/23/2014,MEIBEI,July-Dry,Dry,BAR,BAR/035b,PETER,SIMON,11:20:00,53194,3703570,55238,3702886,11:44:00,4,,,,,,,,,,,,,,,,,,,Partially protected
9/18/2014,MEIBEI,Sept-Dry,Dry,BAR,BAR/035c,PETER,SIMON,11:20:00,53194,3703570,55238,3702886,11:44:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/13/2014,MEIBEI,Nov-Wet,Wet,BAR,BAR/035d,PETER,SIMON,11:20:00,53194,3703570,55238,3702886,11:44:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/13/2015,MEIBEI,Dec-Wet,Wet,BAR,BAR/035e,PETER,SIMON,11:20:00,53194,3703570,55238,3702886,11:44:00,4,23:26:00,1254,3703620,53717,OS,23,83,0,83,22.27,22.27,4,,,,,3,H,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,BAR/035f,PETER,SIMON,11:20:00,53194,3703570,55238,3702886,11:44:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/26/2014,SNR,July-Dry,Dry,SNR,SNR/074b,SIMON,TEDDY,11:25:00,34163,3731077,36230,3731687,11:45:00,4,,,,,,,,,,,,,,,,,,,protected
10/11/2014,SNR,Sept-Dry,Dry,SNR,SNR/074c,SIMON,MUTIGA,11:25:00,34163,3731077,36230,3731687,11:45:00,4,,,,,,,,,,,,,,,,,,,protected
12/12/2014,SNR,Dec-Wet,Wet,SNR,SNR/074e,SIMON,MUTIGA,11:25:00,34163,3731077,36230,3731687,11:45:00,4,,,,,,,,,,,,,,,,,,,protected
2/21/2015,SNR,Feb-Dry,Dry,SNR,SNR/074f,SIMON,MUTIGA,11:25:00,34163,3731077,36230,3731687,11:45:00,4,,,,,,,,,,,,,,,,,,,protected
6/5/2014,MEIBEI,June- Dry,Dry,BAR,BAR/023a,PETER,SIMON,11:00:00,54092,3706365,51930,3706429,11:46:00,4,,,,,,,,,,,,,,,,,,,Partially protected
3/25/2015,MEIBEI,April-Wet,Wet,BAR,BAR/027g,SIMON,AMOS,11:12:00,49448,3705974,49473,3708130,11:47:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/9/2015,MEIBEI,May-Wet,Wet,BAR,BAR/027h,SIMON,AMOS,11:12:00,49448,3705974,49473,3708130,11:47:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/3/2014,SNR,Nov-Wet,Wet,SNR,SNR/104d,SIMON,MUTIGA,11.24 AM,34674,3732267,35475,3731683,11:48:00,2,,,,,,,,,,,,,,,,,,,protected
6/16/2014,MEIBEI,June- Dry,Dry,NK,NK/011a,SIMON,TEDDY,11:24:00,59232,3709191,59382,3711341,11:49:00,4,,,,,,,,,,,,,,,,,,,Partially protected
6/21/2016,SNR,June- Dry,Dry,SNR,SNR/066a,SIMON,MUTIGA,11:09:00,35486,3735485,37402,3735431,11:49:00,4,,,,,,,,,,,,,,,,,,,protected
7/25/2014,SNR,July-Dry,Dry,SNR,SNR/066,SIMON,TEDDY,11:20:00,35486,3735485,37402,3735431,11:49:00,4,11:30:00,,35548,3736493,,20,,,,,,6,3,3,,,2,,protected
10/10/2014,SNR,Sept-Dry,Dry,SNR,SNR/066c,SIMON,MUTIGA,11:20:00,35486,3735485,37402,3735431,11:49:00,4,,,,,,,,,,,,,,,,,,,protected
12/12/2014,SNR,Dec-Wet,Wet,SNR,SNR/066e,SIMON,MUTIGA,11:20:00,35486,3735485,37402,3735431,11:49:00,4,,,,,,,,,,,,,,,,,,,protected
2/21/2015,SNR,Feb-Dry,Dry,SNR,SNR/066f,SIMON,MUTIGA,11:20:00,35486,3735485,37402,3735431,11:49:00,4,,,,,,,,,,,,,,,,,,,protected
6/22/2014,SNR,June- Dry,Dry,SNR,SNR/074a,SIMON,MUTIGA,11:35:00,34163,3731077,36230,3731687,11:51:00,4,,,,,,,,,,,,,,,,,,,protected
5/4/2015,SNR,May-Wet,Wet,SNR,SNR/066h,SIMON,MUTIGA,11:23:00,35486,3735485,37402,3735431,11:51:00,4.5,,,,,,,,,,,,,,,,,,,protected
6/22/2016,SNR,June- Dry,Dry,SNR,SNR/104a,SIMON,MUTIGA,11:323M,34674,3732267,35475,3731683,11:54:00,2,,,,,,,,,,,,,,,,,,,protected
7/22/2014,MEIBEI,July-Dry,Dry,BAR,BAR/029b,SIMON,PETER,11:20:00,46936,3708665,47697,3710678,11:55:00,4,,,,,,,,,,,,,,,,,,,Partially protected
9/17/2014,MEIBEI,Sept-Dry,Dry,BAR,BAR/029c,SIMON,PETER,11:20:00,46936,3708665,47697,3710678,11:55:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/12/2014,MEIBEI,Nov-Wet,Wet,BAR,BAR/029d,SIMON,PETER,11:20:00,46936,3708665,47697,3710678,11:55:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/12/2015,MEIBEI,Dec-Wet,Wet,BAR,BAR/029e,SIMON,PETER,11:20:00,46936,3708665,47697,3710678,11:55:00,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,BAR/029f,SIMON,PETER,11:20:00,46936,3708665,47697,3710678,11:55:00,4,,,,,,,,,,,,,,,,,,,Partially protected
9/2/2014,MEIBEI,Sept-Dry,Dry,NK,NK/020c,SIMON,PETER,11:39:00,58812,3713381,57116,3714717,11:58:00,4,23:46:00,1233,58722,3710530,Ostr,88,67,141,74,-86.69,86.69,3,2,1,,,3,,Partially protected
12/2/2014,SNR,Nov-Wet,Wet,SNR,SNR/068d,SIMON,MUTIGA,11:46:00,35354,3734798,34540,3734128,11:58:00,4.5,,,,,,,,,,,,,,,,,,,protected
11/8/2014,MEIBEI,Nov-Wet,Wet,NK,NK/011d,SIMON,TEDDY,11:29:00,59232,3709191,59382,3711341,11:59:00,4,11:29:00,1255,59322,3710037,0st,104,0,75,75,-40.33,40.33,1,1,,,,3,H,Partially protected
11/8/2014,MEIBEI,Nov-Wet,Wet,NK,NK/011d,SIMON,TEDDY,11:29:00,59232,3709191,59382,3711341,11:59:00,4,11:38:00,1249,59319,3710407,ost,119,130,75,55,-118.97,118.97,2,1,1,,,3,H,Partially protected
6/29/2014,WESTGATE,June- Dry,Dry,WG,WG/008a,PETER,SIMON,12:20:00,47441,3720007,47625,3717862,12:15:00,4,,,,,,,,,,,,,,,,,,,Partially protected
4/28/2015,MEIBEI,April-Wet,Wet,NK,NK/014g,SIMON,AMOS,11:40:00,59941,3708672,59748,3706523,12:17:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/14/2015,MEIBEI,May-Wet,Wet,NK,NK/014h,SIMON,AMOS,11:40:00,59941,3708672,59748,3706523,12:17:00,4,,,,,,,,,,,,,,,,,,,Partially protected
3/25/2015,MEIBEI,April-Wet,Wet,BAR,BAR/028g,SIMON,AMOS,11:57:00,48555,3707683,48993,3709793,12:18:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/11/2015,MEIBEI,May-Wet,Wet,BAR,BAR/028h,SIMON,AMOS,11:57:00,48555,3707683,48993,3709793,12:18:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/21/2014,MEIBEI,July-Dry,Dry,BAR,BAR/023b,PETER,SIMON,11:28:00,54092,3706365,51930,3706429,12:23:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/24/2014,MEIBEI,Nov-Wet,Wet,BAR,BAR/023d,PETER,SIMON,11:28:00,54092,3706365,51930,3706429,12:23:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/11/2015,MEIBEI,Dec-Wet,Wet,BAR,BAR/023e,PETER,SIMON,11:28:00,54092,3706365,51930,3706429,12:23:00,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,BAR/023f,PETER,SIMON,11:28:00,54092,3706365,51930,3706429,12:23:00,4,,,,,,,,,,,,,,,,,,,Partially protected
9/3/2014,MEIBEI,Sept-Dry,Dry,NK,NK/015c,PETER,SIMON,11:44:00,58415,3709939,58119,3707805,12:30:00,4,,,,,,,,,,,,,,,,,,,Partially protected
6/16/2014,MEIBEI,June- Dry,Dry,NK,NK/021a,SIMON,TEDDY,11:50:00,59898,3713120,59642,3710979,12:36:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/7/2014,MEIBEI,July-Dry,Dry,NK,NK/021,SIMON,TEDDY,11:50:00,59898,3713120,59642,3710979,12:36:00,4,,,,,,,,253,253,0,0,,,,,,,,Partially protected
12/12/2014,MEIBEI,Nov-Wet,Wet,NK,NK/021d,SIMON,TEDDY,11:50:00,59898,3713120,59642,3710979,12:36:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/9/2015,MEIBEI,Dec-Wet,Wet,NK,NK/021e,SIMON,TEDDY,11:50:00,59898,3713120,59642,3710979,12:36:00,4,11:29:00,1228,3710979,59641,OS,126,262,253,9,51.93,51.93,6,,,,,3,H,Partially protected
3/20/2015,MEIBEI,Feb-Dry,Dry,NK,NK/021f,SIMON,TEDDY,11:50:00,59898,3713120,59642,3710979,12:36:00,4,,,,,,,,,,,,,,,,,,,Partially protected
4/30/2015,MEIBEI,April-Wet,Wet,NK,NK/021g,SIMON,AMOS,12:05:00,59895,3713118,59642,3710979,12:36:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/13/2015,MEIBEI,May-Wet,Wet,NK,NK/021h,SIMON,AMOS,12:05:00,59895,3713118,59642,3710979,12:36:00,4,12:15:00,1224,59749,3711256,0ST,96,94,,94,-23.54,23.54,7,2,5,,3,,,Partially protected
4/18/2015,SNR,April-Wet,Wet,SNR,SNR/070g,SIMON,MUTIGA,0:02:00,34452,3733396,36551,3732904,12:40:00,4,,,,,,,,,,,,,,,,,,,protected
5/12/2015,WESTGATE,May-Wet,Wet,WG,WG/008h,PETER,SIMON,19:08 PM,47441,3720007,47625,3717862,12:43:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/2/2014,SNR,Nov-Wet,Wet,SNR,SNR/070d,SIMON,MUTIGA,12:11:00,34452,3733396,36551,3732904,12:47:00,4,,,,,,,,,,,,,,,,,,,protected
6/19/2014,MEIBEI,June- Dry,Dry,NK,NK/022a,PETER,SIMON,12:09:00,101881,3713182,101384,3711085,12:51:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/9/2014,MEIBEI,July-Dry,Dry,NK,NK/022,PETER,SIMON,12:09:00,101881,3713182,101384,3711085,12:51:00,4,,,,,,,,268,268,0,0,,,,,,,,Partially protected
010/11/2014,MEIBEI,Nov-Wet,Wet,NK,NK/022d,PETER,SIMON,12:09:00,101881,3713182,101384,3711085,12:51:00,4,12:46:00,1300,101274,3714587,ost,117,159,268,109,95.56,95.56,2,1,1,,,3,H,Partially protected
1/9/2015,MEIBEI,Dec-Wet,Wet,NK,NK/022e,PETER,SIMON,12:09:00,101881,3713182,101384,3711085,12:51:00,4,,,,,,,,,,,,,,,,,,,Partially protected
3/20/2015,MEIBEI,Feb-Dry,Dry,NK,NK/022f,PETER,SIMON,12:09:00,101881,3713182,101384,3711085,12:51:00,4,,,,,,,,,,,,,,,,,,,Partially protected
6/21/2014,SNR,June- Dry,Dry,SNR,SNR/068a,SIMON,MUTIGA,12:18:00,35354,3734798,34540,3734128,13:00:00,4.5,,,,,,,,,,,,,,,,,,,protected
7/25/2014,SNR,July-Dry,Dry,SNR,SNR/068b,SIMON,TEDDY,12:08:00,35354,3734798,34540,3734128,13:00:00,4.5,,,,,,,,,,,,,,,,,,,protected
10/10/2014,SNR,Sept-Dry,Dry,SNR,SNR/068c,SIMON,MUTIGA,12:08:00,35354,3734798,34540,3734128,13:00:00,4.5,0:36:00,,59231,3709191,Ostr,120,320,255,65,99.22,99.22,8,3,5,,,3,H,protected
12/12/2014,SNR,Dec-Wet,Wet,SNR,SNR/068e,SIMON,MUTIGA,12:08:00,35354,3734798,34540,3734128,13:00:00,4.5,,,,,,,,,,,,,,,,,,PA,protected
2/21/2015,SNR,Feb-Dry,Dry,SNR,SNR/068f,SIMON,MUTIGA,12:08:00,35354,3734798,34540,3734128,13:00:00,4.5,,,,,,,,,,,,,,,,,,,protected
4/26/2015,MEIBEI,April-Wet,Wet,BAR,BAR/026g,SIMON,AMOS,0:40:00,53332,3704214,51182,3708130,13:08:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/10/2015,MEIBEI,May-Wet,Wet,BAR,BAR/026h,SIMON,AMOS,0:40:00,53332,3704214,51182,3708130,13:08:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/4/2015,SNR,May-Wet,Wet,SNR,SNR/068h,SIMON,MUTIGA,12:13:00,35354,3734798,34540,3734128,13:10:00,4,12:30:00,864,35429,3734949,ost,52,120,8,112,-46.28,46.28,3,,3,,1,,,protected
7/7/2014,MEIBEI,July-Dry,Dry,NK,NK/020,SIMON,PETER,12:46:00,58812,3713381,57116,3714717,13:11:00,4,,,,,,,,141,141,0,0,,,,,,,,Partially protected
11/12/2014,MEIBEI,Nov-Wet,Wet,NK,NK/020d,SIMON,PETER,12:46:00,58812,3713381,57116,3714717,13:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/7/2015,MEIBEI,Dec-Wet,Wet,NK,NK/020e,SIMON,PETER,12:46:00,58812,3713381,57116,3714717,13:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
3/20/2015,MEIBEI,Feb-Dry,Dry,NK,NK/020f,SIMON,PETER,12:46:00,58812,3713381,57116,3714717,13:11:00,4,,,,,,,,,,,,,,,,e,,,Partially protected
9/1/2014,MEIBEI,Sept-Dry,Dry,NK,NK/021c,SIMON,TEDDY,12:48:00,59898,3713120,59642,3710979,13:13:00,4,,,,,,,,,,,,,,,,,,,Partially protected
6/6/2014,MEIBEI,June- Dry,Dry,BAR,BAR/025a,SIMON,PETER,11:44:00,52269,3704297,52635,3702173,13:14:00,4,,,,,,,,,,,,,,,,,,,Partially protected
4/18/2015,SNR,April-Wet,Wet,SNR,SNR/104g,SIMON,MUTIGA,12:54:00,34674,3732267,35475,3731683,13:23:00,2,,,,,,,,,,,,,,,,,,,protected
7/25/2014,SNR,July-Dry,Dry,SNR,SNR/070b,TEDDY,SIMON,13:07:00,34452,3733396,36551,3732904,13:35:00,4,,,,,,,,,,,,,,,,,,,protected
10/10/2014,SNR,Sept-Dry,Dry,SNR,SNR/070c,TEDDY,MUTIGA,13:07:00,34452,3733396,36551,3732904,13:35:00,4,,,,,,,,,,,,,,,,,,,protected
12/12/2014,SNR,Dec-Wet,Wet,SNR,SNR/070e,SIMON,MUTIGA,13:07:00,34452,3733396,36551,3732904,13:35:00,4,,,,,,,,,,,,,,,,,,,protected
2/21/2015,SNR,Feb-Dry,Dry,SNR,SNR/070f,SIMON,MUTIGA,13:07:00,34452,3733396,36551,3732904,13:35:00,4,,,,,,,,,,,,,,,,,,,protected
6/21/2017,SNR,June- Dry,Dry,SNR,SNR/070a,SIMON,MUTIGA,13:08:00,34452,3733396,36551,3732904,13:43:00,4,,,,,,,,,,,,,,,,,,,protected
5/4/2015,SNR,May-Wet,Wet,SNR,SNR/070h,SIMON,MUTIGA,13:17:00,34452,3733396,36551,3732904,13:45:00,4.5,,,,,,,,,,,,,,,,,,,protected
6/24/2014,MEIBEI,June- Dry,Dry,NK,NK/012a,PETER,SIMON,13:11:00,100942,3709036,100805,3711189,13:51:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/9/2014,MEIBEI,July-Dry,Dry,NK,NK/012b,PETER,SIMON,13:11:00,100942,3709036,100805,3711189,13:51:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,NK,NK/012d,PETER,SIMON,13:11:00,100942,3709036,100805,3711189,13:51:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/6/2015,MEIBEI,Dec-Wet,Wet,NK,NK/012e,PETER,SIMON,13:11:00,100942,3709036,100805,3711189,13:51:00,4,13:31:00,1258,3710314,100845,OS,84,241,90,151,16.98,16.98,6,2,4,,,3,H,Partially protected
3/14/2015,MEIBEI,Feb-Dry,Dry,NK,NK/012f,PETER,SIMON,13:11:00,100942,3709036,100805,3711189,13:51:00,4,,,,,,,,,,,,,,,,,,,Partially protected
4/26/2015,MEIBEI,April-Wet,Wet,BAR,BAR/034g,SIMON,AMOS,13:30:00,51765,3704593,51480,3702453,13:55:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/10/2015,MEIBEI,May-Wet,Wet,BAR,BAR/034h,SIMON,AMOS,13:30:00,51765,3704593,51480,3702453,13:55:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/29/2014,MEIBEI,July-Dry,Dry,BAR,BAR/030b,PETER,SIMON,12:40:00,47533,3708182,47965,3706071,14:03:00,4,,,,,,,,,,,,,,,,,,,Partially protected
9/21/2014,MEIBEI,Sept-Dry,Dry,BAR,BAR/030c,PETER,SIMON,12:40:00,47533,3708182,47965,3706071,14:03:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/12/2014,MEIBEI,Nov-Wet,Wet,BAR,BAR/030d,PETER,SIMON,12:40:00,47533,3708182,47965,3706071,14:03:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/13/2013,MEIBEI,Dec-Wet,Wet,BAR,BAR/030e,PETER,SIMON,12:40:00,47533,3708182,47965,3706071,14:03:00,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,BAR/030f,PETER,SIMON,12:40:00,47533,3708182,47965,3706071,14:03:00,4,,,,,,,,,,,,,,,,,,,Partially protected
6/17/2014,MEIBEI,June- Dry,Dry,NK,NK/020a,SIMON,PETER,13:46:00,58812,3713381,57116,3714717,14:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/2/2014,SNR,Nov-Wet,Wet,SNR,SNR/076d,SIMON,MUTIGA,13:58:00,35695,3729164,37792,3728657,14:12:00,4,,,,,,,,,,,,,,,,,,,protected
7/21/2014,MEIBEI,July-Dry,Dry,BAR,BAR/027b,SIMON,PETER,13:44:00,49449,3705973,49473,3708130,14:13:00,4,,,,,,,,,,,,,,,,,,,Partially protected
9/10/2014,MEIBEI,Sept-Dry,Dry,BAR,BAR/027c,SIMON,PETER,13:44:00,49449,3705973,49473,3708130,14:13:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/11/2014,MEIBEI,Nov-Wet,Wet,BAR,BAR/027d,SIMON,PETER,13:44:00,49449,3705973,49473,3708130,14:13:00,4,,,,,,,,,,,,,,,,,,,Partially protected
1/11/2015,MEIBEI,Dec-Wet,Wet,BAR,BAR/027e,SIMON,PETER,13:44:00,49449,3705973,49473,3708130,14:13:00,4,,,,,,,,,,,,,,,,,,,Partially protected
,MEIBEI,Feb-Dry,Dry,BAR,BAR/027f,SIMON,PETER,13:44:00,49449,3705973,49473,3708130,14:13:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/4/2015,SNR,May-Wet,Wet,SNR,SNR/074h,SIMON,MUTIGA,14:02:00,34163,3731077,36230,3731687,14:25:00,4,,,,,,,,,,,,,,,,,,,protected
12/3/2014,SNR,Nov-Wet,Wet,SNR,SNR/092d,SIMON,MUTIGA,14:30:00,37718,3734049,39875,3734061,14:56:00,4,,,,,,,,,,,,,,,,,,,protected
11/24/2014,WESTGATE,Nov-Wet,Wet,WG,WG/008d,PETER,SIMON,12:20:00,47441,3720007,47625,3717862,15:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/24/2014,WESTGATE,Nov-Wet,Wet,WG,WG/009d,SIMON,PETER,11:03:00,49236,3718986,49775,3717459,15:11:00,4,11:22:00,1122,45535,3718480,ost,59,352,262,90,52.75,52.75,1,1,,,,3,H,Partially protected
12/21/2015,WESTGATE,Dec-Wet,Wet,WG,WG/002e,SIMON,PETER,9:40:00,52230,3719027,52077,3721175,15:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
3/12/2015,WESTGATE,Feb-Dry,Dry,WG,WG/008f,PETER,SIMON,12:20:00,47441,3720007,47625,3717862,15:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
3/13/2015,WESTGATE,Feb-Dry,Dry,WG,WG/009f,SIMON,PETER,11:03:00,49236,3718986,49775,3717459,15:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
4/21/2015,WESTGATE,April-Wet,Wet,WG,WG/002g,SIMON,PETER,9:40:00,52230,3719027,52077,3721175,15:11:00,4,10:03:00,1071,52034,3721047,OS,123,211,106,105,-119.38,119.38,37,5,27,5,,2,H,Partially protected
4/14/2015,WESTGATE,April-Wet,Wet,WG,WG/009g,SIMON,PETER,11:03:00,49236,3718986,49775,3717459,15:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/7/2015,WESTGATE,May-Wet,Wet,WG,WG/002h,SIMON,PETER,8:18M,52230,3719027,52077,3721175,15:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
5/8/2015,WESTGATE,May-Wet,Wet,WG,WG/003h,PETER,SIMON,8:55:00,50197,3718571,49867,3720703,15:11:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/3/2014,SNR,Nov-Wet,Wet,SNR,SNR/090d,SIMON,MUTIGA,15:04:00,35219,3729715,36675,3731318,15:30:00,4,,,,,,,,,,,,,,,,,,,protected
12/3/2014,SNR,Nov-Wet,Wet,SNR,SNR/091d,SIMON,MUTIGA,15:39:00,36805,3731843,37276,3733949,16:03:00,4,,,,,,,,,,,,,,,,,,,protected
